Team;Player;Position;Points;Price;GP;Home;Away;Average
Manchester City;Stefan Ortega;Goalkeeper;0;980000;0;0;0;0.00
Liverpool;Woodman;Goalkeeper;0;950000;0;0;0;0.00
Newcastle;Dubravka;Goalkeeper;0;940000;0;0;0;0.00
Aston Villa;Emi Buendía;Forward;0;940000;0;0;0;0.00
Chelsea;Ugochukwu;Midfielder;0;940000;0;0;0;0.00
AFC Bournemouth;Faivre;Midfielder;0;920000;0;0;0;0.00
Chelsea;Mike Penders;Goalkeeper;0;920000;0;0;0;0.00
Chelsea;Chilwell;Defender;0;910000;0;0;0;0.00
Manchester City;Echeverri;Midfielder;0;900000;0;0;0;0.00
Crystal Palace;Borna Sosa;Defender;0;900000;0;0;0;0.00
Leeds United;Sam Greenwood;Forward;0;890000;0;0;0;0.00
Newcastle;Vlachodimos;Goalkeeper;0;890000;0;0;0;0.00
Sunderland;Dennis Cirkin;Defender;0;880000;0;0;0;0.00
Sunderland;Pierre Ekwah;Midfielder;0;880000;0;0;0;0.00
Sunderland;Mandava;Defender;0;880000;0;0;0;0.00
Tottenham;Alfie Devine;Midfielder;0;870000;0;0;0;0.00
Leeds United;Bornauw;Defender;0;870000;0;0;0;0.00
AFC Bournemouth;Mepham;Defender;0;830000;0;0;0;0.00
Aston Villa;Yasin Özcan;Defender;0;830000;0;0;0;0.00
Wolverhampton;Johnstone;Goalkeeper;0;820000;0;0;0;0.00
